,,,,,785.6383838
BENGALURU URBAN,ANEKAL,SARJAPUR,04-01,0.2916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-02,0.04166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-03,1.916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-04,0.04166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-05,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-06,1.333333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-07,2.916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-08,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-09,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-10,1.25,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-11,0.04166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-12,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-13,1.916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-14,0.625,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-15,0.125,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-16,1.791666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-17,3.958333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-18,1.625,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-19,1.208333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-20,2.416666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-21,4.5,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-22,8,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-23,8.541666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-24,3.875,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-25,1.708333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-26,2.041666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-27,0.7916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-28,2.75,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-29,3.916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,04-30,4.458333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-01,2,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-02,3.041666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-03,1.5,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-04,4.166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-05,3.583333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-06,0.04166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-07,1.208333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-08,3.75,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-09,6.291666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-10,1.916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-11,1.541666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-12,3.291666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-13,2.416666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-14,0.1666666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-15,3.75,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-16,7.166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-17,7.541666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-18,5.166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-19,5.583333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-20,10.04166667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-21,3.083333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-22,5.125,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-23,0.875,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-24,1.875,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-25,9.291666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-26,4.75,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-27,5.75,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-28,6.166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-29,3.416666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-30,1.041666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,05-31,5.458333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-01,16.45833333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-02,3.958333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-03,5.083333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-04,3.333333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-05,1.958333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-06,7.166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-07,4.208333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-08,0.5833333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-09,3.125,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-10,0.5,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-11,1.75,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-12,1.041666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-13,0.08333333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-14,0.5,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-15,0.5833333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-16,0.6666666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-17,0.9583333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-18,1.166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-19,0.75,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-20,0.2916666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-21,0.4583333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-22,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-23,1.166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-24,1.583333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-25,2.583333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-26,3.75,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-27,0.375,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-28,0.625,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-29,0.9583333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,06-30,0.625,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-01,0.1666666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-02,0.7083333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-03,1.5,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-04,4.541666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-05,0.3333333333,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-06,1.166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-07,0.9166666667,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-08,0.4090909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-09,0.9545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-10,2.318181818,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-11,1.409090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-12,0.5909090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-13,0.5,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-14,2.045454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-15,1.590909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-16,1.318181818,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-17,1.409090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-18,1.363636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-19,2.318181818,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-20,5.318181818,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-21,2.681818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-22,0.9545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-23,0.5909090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-24,1.272727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-25,2.863636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-26,6.409090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-27,2.545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-28,5.409090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-29,8.545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-30,0.5,
BENGALURU URBAN,ANEKAL,SARJAPUR,07-31,1.909090909,
